hidden_layer_sizes,max_epoch,learning_rate_init,max_error,trial,mean_cv_accuracy,train_accuracy,test_accuracy
"[30, 20, 1]",100,0.001,0.01,1,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.01,2,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.01,3,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.01,4,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.01,5,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.05,1,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.05,2,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.05,3,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.05,4,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.05,5,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.1,1,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.1,2,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.1,3,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.1,4,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.1,5,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",500,0.001,0.01,1,0.9806396522279149,0.9868421052631579,0.9646017699115044
"[30, 20, 1]",500,0.001,0.01,2,0.9806396522279149,0.9868421052631579,0.9646017699115044
"[30, 20, 1]",500,0.001,0.01,3,0.9806396522279149,0.9868421052631579,0.9646017699115044
"[30, 20, 1]",500,0.001,0.01,4,0.9806396522279149,0.9868421052631579,0.9646017699115044
"[30, 20, 1]",500,0.001,0.01,5,0.9806396522279149,0.9868421052631579,0.9646017699115044
"[30, 20, 1]",500,0.001,0.05,1,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",500,0.001,0.05,2,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",500,0.001,0.05,3,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",500,0.001,0.05,4,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",500,0.001,0.05,5,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",500,0.001,0.1,1,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",500,0.001,0.1,2,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",500,0.001,0.1,3,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",500,0.001,0.1,4,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",500,0.001,0.1,5,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.01,1,0.9806551777674274,0.9890350877192983,0.9734513274336283
"[30, 20, 1]",1000,0.001,0.01,2,0.9806551777674274,0.9890350877192983,0.9734513274336283
"[30, 20, 1]",1000,0.001,0.01,3,0.9806551777674274,0.9890350877192983,0.9734513274336283
"[30, 20, 1]",1000,0.001,0.01,4,0.9806551777674274,0.9890350877192983,0.9734513274336283
"[30, 20, 1]",1000,0.001,0.01,5,0.9806551777674274,0.9890350877192983,0.9734513274336283
"[30, 20, 1]",1000,0.001,0.05,1,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.05,2,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.05,3,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.05,4,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.05,5,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.1,1,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.1,2,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.1,3,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.1,4,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.1,5,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 30, 20, 1]",100,0.001,0.01,1,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.01,2,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.01,3,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.01,4,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.01,5,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.05,1,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.05,2,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.05,3,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.05,4,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.05,5,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.1,1,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.1,2,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.1,3,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.1,4,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.1,5,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",500,0.001,0.01,1,0.776618537494178,0.6929824561403509,0.672566371681416
"[30, 30, 20, 1]",500,0.001,0.01,2,0.776618537494178,0.6929824561403509,0.672566371681416
"[30, 30, 20, 1]",500,0.001,0.01,3,0.776618537494178,0.6929824561403509,0.672566371681416
"[30, 30, 20, 1]",500,0.001,0.01,4,0.776618537494178,0.6929824561403509,0.672566371681416
"[30, 30, 20, 1]",500,0.001,0.01,5,0.776618537494178,0.6929824561403509,0.672566371681416
"[30, 30, 20, 1]",500,0.001,0.05,1,0.776618537494178,0.6929824561403509,0.672566371681416
"[30, 30, 20, 1]",500,0.001,0.05,2,0.776618537494178,0.6929824561403509,0.672566371681416
"[30, 30, 20, 1]",500,0.001,0.05,3,0.776618537494178,0.6929824561403509,0.672566371681416
"[30, 30, 20, 1]",500,0.001,0.05,4,0.776618537494178,0.6929824561403509,0.672566371681416
"[30, 30, 20, 1]",500,0.001,0.05,5,0.776618537494178,0.6929824561403509,0.672566371681416
"[30, 30, 20, 1]",500,0.001,0.1,1,0.776618537494178,0.6929824561403509,0.672566371681416
"[30, 30, 20, 1]",500,0.001,0.1,2,0.776618537494178,0.6929824561403509,0.672566371681416
"[30, 30, 20, 1]",500,0.001,0.1,3,0.776618537494178,0.6929824561403509,0.672566371681416
"[30, 30, 20, 1]",500,0.001,0.1,4,0.776618537494178,0.6929824561403509,0.672566371681416
"[30, 30, 20, 1]",500,0.001,0.1,5,0.776618537494178,0.6929824561403509,0.672566371681416
"[30, 30, 20, 1]",1000,0.001,0.01,1,0.9613103555348548,0.9736842105263158,0.9469026548672567
"[30, 30, 20, 1]",1000,0.001,0.01,2,0.9613103555348548,0.9736842105263158,0.9469026548672567
"[30, 30, 20, 1]",1000,0.001,0.01,3,0.9613103555348548,0.9736842105263158,0.9469026548672567
"[30, 30, 20, 1]",1000,0.001,0.01,4,0.9613103555348548,0.9736842105263158,0.9469026548672567
"[30, 30, 20, 1]",1000,0.001,0.01,5,0.9613103555348548,0.9736842105263158,0.9469026548672567
"[30, 30, 20, 1]",1000,0.001,0.05,1,0.9578015836050303,0.9583333333333334,0.9469026548672567
"[30, 30, 20, 1]",1000,0.001,0.05,2,0.9578015836050303,0.9583333333333334,0.9469026548672567
"[30, 30, 20, 1]",1000,0.001,0.05,3,0.9578015836050303,0.9583333333333334,0.9469026548672567
"[30, 30, 20, 1]",1000,0.001,0.05,4,0.9578015836050303,0.9583333333333334,0.9469026548672567
"[30, 30, 20, 1]",1000,0.001,0.05,5,0.9578015836050303,0.9583333333333334,0.9469026548672567
"[30, 30, 20, 1]",1000,0.001,0.1,1,0.924437199192672,0.9298245614035088,0.9292035398230089
"[30, 30, 20, 1]",1000,0.001,0.1,2,0.924437199192672,0.9298245614035088,0.9292035398230089
"[30, 30, 20, 1]",1000,0.001,0.1,3,0.924437199192672,0.9298245614035088,0.9292035398230089
"[30, 30, 20, 1]",1000,0.001,0.1,4,0.924437199192672,0.9298245614035088,0.9292035398230089
"[30, 30, 20, 1]",1000,0.001,0.1,5,0.924437199192672,0.9298245614035088,0.9292035398230089
"[30, 20, 1]",100,0.01,0.01,1,0.9788852662630025,0.9890350877192983,0.9646017699115044
"[30, 20, 1]",100,0.01,0.01,2,0.9788852662630025,0.9890350877192983,0.9646017699115044
"[30, 20, 1]",100,0.01,0.01,3,0.9788852662630025,0.9890350877192983,0.9646017699115044
"[30, 20, 1]",100,0.01,0.01,4,0.9788852662630025,0.9890350877192983,0.9646017699115044
"[30, 20, 1]",100,0.01,0.01,5,0.9788852662630025,0.9890350877192983,0.9646017699115044
"[30, 20, 1]",100,0.01,0.05,1,0.9525384257102933,0.956140350877193,0.9469026548672567
"[30, 20, 1]",100,0.01,0.05,2,0.9525384257102933,0.956140350877193,0.9469026548672567
"[30, 20, 1]",100,0.01,0.05,3,0.9525384257102933,0.956140350877193,0.9469026548672567
"[30, 20, 1]",100,0.01,0.05,4,0.9525384257102933,0.956140350877193,0.9469026548672567
"[30, 20, 1]",100,0.01,0.05,5,0.9525384257102933,0.956140350877193,0.9469026548672567
"[30, 20, 1]",100,0.01,0.1,1,0.9402266728768824,0.9407894736842105,0.9292035398230089
"[30, 20, 1]",100,0.01,0.1,2,0.9402266728768824,0.9407894736842105,0.9292035398230089
"[30, 20, 1]",100,0.01,0.1,3,0.9402266728768824,0.9407894736842105,0.9292035398230089
"[30, 20, 1]",100,0.01,0.1,4,0.9402266728768824,0.9407894736842105,0.9292035398230089
"[30, 20, 1]",100,0.01,0.1,5,0.9402266728768824,0.9407894736842105,0.9292035398230089
"[30, 20, 1]",500,0.01,0.01,1,0.98067070330694,0.9912280701754386,0.9823008849557522
"[30, 20, 1]",500,0.01,0.01,2,0.98067070330694,0.9912280701754386,0.9823008849557522
"[30, 20, 1]",500,0.01,0.01,3,0.98067070330694,0.9912280701754386,0.9823008849557522
"[30, 20, 1]",500,0.01,0.01,4,0.98067070330694,0.9912280701754386,0.9823008849557522
"[30, 20, 1]",500,0.01,0.01,5,0.98067070330694,0.9912280701754386,0.9823008849557522
"[30, 20, 1]",500,0.01,0.05,1,0.9525384257102933,0.956140350877193,0.9469026548672567
"[30, 20, 1]",500,0.01,0.05,2,0.9525384257102933,0.956140350877193,0.9469026548672567
"[30, 20, 1]",500,0.01,0.05,3,0.9525384257102933,0.956140350877193,0.9469026548672567
"[30, 20, 1]",500,0.01,0.05,4,0.9525384257102933,0.956140350877193,0.9469026548672567
"[30, 20, 1]",500,0.01,0.05,5,0.9525384257102933,0.956140350877193,0.9469026548672567
"[30, 20, 1]",500,0.01,0.1,1,0.9402266728768824,0.9407894736842105,0.9292035398230089
"[30, 20, 1]",500,0.01,0.1,2,0.9402266728768824,0.9407894736842105,0.9292035398230089
"[30, 20, 1]",500,0.01,0.1,3,0.9402266728768824,0.9407894736842105,0.9292035398230089
"[30, 20, 1]",500,0.01,0.1,4,0.9402266728768824,0.9407894736842105,0.9292035398230089
"[30, 20, 1]",500,0.01,0.1,5,0.9402266728768824,0.9407894736842105,0.9292035398230089
"[30, 20, 1]",1000,0.01,0.01,1,0.9789163173420276,0.9912280701754386,0.9823008849557522
"[30, 20, 1]",1000,0.01,0.01,2,0.9789163173420276,0.9912280701754386,0.9823008849557522
"[30, 20, 1]",1000,0.01,0.01,3,0.9789163173420276,0.9912280701754386,0.9823008849557522
"[30, 20, 1]",1000,0.01,0.01,4,0.9789163173420276,0.9912280701754386,0.9823008849557522
"[30, 20, 1]",1000,0.01,0.01,5,0.9789163173420276,0.9912280701754386,0.9823008849557522
"[30, 20, 1]",1000,0.01,0.05,1,0.9525384257102933,0.956140350877193,0.9469026548672567
"[30, 20, 1]",1000,0.01,0.05,2,0.9525384257102933,0.956140350877193,0.9469026548672567
"[30, 20, 1]",1000,0.01,0.05,3,0.9525384257102933,0.956140350877193,0.9469026548672567
"[30, 20, 1]",1000,0.01,0.05,4,0.9525384257102933,0.956140350877193,0.9469026548672567
"[30, 20, 1]",1000,0.01,0.05,5,0.9525384257102933,0.956140350877193,0.9469026548672567
"[30, 20, 1]",1000,0.01,0.1,1,0.9402266728768824,0.9407894736842105,0.9292035398230089
"[30, 20, 1]",1000,0.01,0.1,2,0.9402266728768824,0.9407894736842105,0.9292035398230089
"[30, 20, 1]",1000,0.01,0.1,3,0.9402266728768824,0.9407894736842105,0.9292035398230089
"[30, 20, 1]",1000,0.01,0.1,4,0.9402266728768824,0.9407894736842105,0.9292035398230089
"[30, 20, 1]",1000,0.01,0.1,5,0.9402266728768824,0.9407894736842105,0.9292035398230089
"[30, 30, 20, 1]",100,0.01,0.01,1,0.9595559695699425,0.9714912280701754,0.9469026548672567
"[30, 30, 20, 1]",100,0.01,0.01,2,0.9595559695699425,0.9714912280701754,0.9469026548672567
"[30, 30, 20, 1]",100,0.01,0.01,3,0.9595559695699425,0.9714912280701754,0.9469026548672567
"[30, 30, 20, 1]",100,0.01,0.01,4,0.9595559695699425,0.9714912280701754,0.9469026548672567
"[30, 30, 20, 1]",100,0.01,0.01,5,0.9595559695699425,0.9714912280701754,0.9469026548672567
"[30, 30, 20, 1]",100,0.01,0.05,1,0.9455053563111318,0.9473684210526315,0.9380530973451328
"[30, 30, 20, 1]",100,0.01,0.05,2,0.9455053563111318,0.9473684210526315,0.9380530973451328
"[30, 30, 20, 1]",100,0.01,0.05,3,0.9455053563111318,0.9473684210526315,0.9380530973451328
"[30, 30, 20, 1]",100,0.01,0.05,4,0.9455053563111318,0.9473684210526315,0.9380530973451328
"[30, 30, 20, 1]",100,0.01,0.05,5,0.9455053563111318,0.9473684210526315,0.9380530973451328
"[30, 30, 20, 1]",100,0.01,0.1,1,0.9226517621487347,0.9298245614035088,0.911504424778761
"[30, 30, 20, 1]",100,0.01,0.1,2,0.9226517621487347,0.9298245614035088,0.911504424778761
"[30, 30, 20, 1]",100,0.01,0.1,3,0.9226517621487347,0.9298245614035088,0.911504424778761
"[30, 30, 20, 1]",100,0.01,0.1,4,0.9226517621487347,0.9298245614035088,0.911504424778761
"[30, 30, 20, 1]",100,0.01,0.1,5,0.9226517621487347,0.9298245614035088,0.911504424778761
"[30, 30, 20, 1]",500,0.01,0.01,1,0.9841794752367644,0.9912280701754386,0.9823008849557522
"[30, 30, 20, 1]",500,0.01,0.01,2,0.9841794752367644,0.9912280701754386,0.9823008849557522
"[30, 30, 20, 1]",500,0.01,0.01,3,0.9841794752367644,0.9912280701754386,0.9823008849557522
"[30, 30, 20, 1]",500,0.01,0.01,4,0.9841794752367644,0.9912280701754386,0.9823008849557522
"[30, 30, 20, 1]",500,0.01,0.01,5,0.9841794752367644,0.9912280701754386,0.9823008849557522
"[30, 30, 20, 1]",500,0.01,0.05,1,0.9455053563111318,0.9473684210526315,0.9380530973451328
"[30, 30, 20, 1]",500,0.01,0.05,2,0.9455053563111318,0.9473684210526315,0.9380530973451328
"[30, 30, 20, 1]",500,0.01,0.05,3,0.9455053563111318,0.9473684210526315,0.9380530973451328
"[30, 30, 20, 1]",500,0.01,0.05,4,0.9455053563111318,0.9473684210526315,0.9380530973451328
"[30, 30, 20, 1]",500,0.01,0.05,5,0.9455053563111318,0.9473684210526315,0.9380530973451328
"[30, 30, 20, 1]",500,0.01,0.1,1,0.9226517621487347,0.9298245614035088,0.911504424778761
"[30, 30, 20, 1]",500,0.01,0.1,2,0.9226517621487347,0.9298245614035088,0.911504424778761
"[30, 30, 20, 1]",500,0.01,0.1,3,0.9226517621487347,0.9298245614035088,0.911504424778761
"[30, 30, 20, 1]",500,0.01,0.1,4,0.9226517621487347,0.9298245614035088,0.911504424778761
"[30, 30, 20, 1]",500,0.01,0.1,5,0.9226517621487347,0.9298245614035088,0.911504424778761
"[30, 30, 20, 1]",1000,0.01,0.01,1,0.98067070330694,0.9912280701754386,0.9823008849557522
"[30, 30, 20, 1]",1000,0.01,0.01,2,0.98067070330694,0.9912280701754386,0.9823008849557522
"[30, 30, 20, 1]",1000,0.01,0.01,3,0.98067070330694,0.9912280701754386,0.9823008849557522
"[30, 30, 20, 1]",1000,0.01,0.01,4,0.98067070330694,0.9912280701754386,0.9823008849557522
"[30, 30, 20, 1]",1000,0.01,0.01,5,0.98067070330694,0.9912280701754386,0.9823008849557522
"[30, 30, 20, 1]",1000,0.01,0.05,1,0.9455053563111318,0.9473684210526315,0.9380530973451328
"[30, 30, 20, 1]",1000,0.01,0.05,2,0.9455053563111318,0.9473684210526315,0.9380530973451328
"[30, 30, 20, 1]",1000,0.01,0.05,3,0.9455053563111318,0.9473684210526315,0.9380530973451328
"[30, 30, 20, 1]",1000,0.01,0.05,4,0.9455053563111318,0.9473684210526315,0.9380530973451328
"[30, 30, 20, 1]",1000,0.01,0.05,5,0.9455053563111318,0.9473684210526315,0.9380530973451328
"[30, 30, 20, 1]",1000,0.01,0.1,1,0.9226517621487347,0.9298245614035088,0.911504424778761
"[30, 30, 20, 1]",1000,0.01,0.1,2,0.9226517621487347,0.9298245614035088,0.911504424778761
"[30, 30, 20, 1]",1000,0.01,0.1,3,0.9226517621487347,0.9298245614035088,0.911504424778761
"[30, 30, 20, 1]",1000,0.01,0.1,4,0.9226517621487347,0.9298245614035088,0.911504424778761
"[30, 30, 20, 1]",1000,0.01,0.1,5,0.9226517621487347,0.9298245614035088,0.911504424778761
"[30, 20, 1]",100,0.1,0.01,1,0.98067070330694,0.993421052631579,0.9823008849557522
"[30, 20, 1]",100,0.1,0.01,2,0.98067070330694,0.993421052631579,0.9823008849557522
"[30, 20, 1]",100,0.1,0.01,3,0.98067070330694,0.993421052631579,0.9823008849557522
"[30, 20, 1]",100,0.1,0.01,4,0.98067070330694,0.993421052631579,0.9823008849557522
"[30, 20, 1]",100,0.1,0.01,5,0.98067070330694,0.993421052631579,0.9823008849557522
"[30, 20, 1]",100,0.1,0.05,1,0.9490141282409563,0.9539473684210527,0.9380530973451328
"[30, 20, 1]",100,0.1,0.05,2,0.9490141282409563,0.9539473684210527,0.9380530973451328
"[30, 20, 1]",100,0.1,0.05,3,0.9490141282409563,0.9539473684210527,0.9380530973451328
"[30, 20, 1]",100,0.1,0.05,4,0.9490141282409563,0.9539473684210527,0.9380530973451328
"[30, 20, 1]",100,0.1,0.05,5,0.9490141282409563,0.9539473684210527,0.9380530973451328
"[30, 20, 1]",100,0.1,0.1,1,0.9419810588417947,0.9495614035087719,0.9292035398230089
"[30, 20, 1]",100,0.1,0.1,2,0.9419810588417947,0.9495614035087719,0.9292035398230089
"[30, 20, 1]",100,0.1,0.1,3,0.9419810588417947,0.9495614035087719,0.9292035398230089
"[30, 20, 1]",100,0.1,0.1,4,0.9419810588417947,0.9495614035087719,0.9292035398230089
"[30, 20, 1]",100,0.1,0.1,5,0.9419810588417947,0.9495614035087719,0.9292035398230089
"[30, 20, 1]",500,0.1,0.01,1,0.9789163173420278,0.993421052631579,0.9823008849557522
"[30, 20, 1]",500,0.1,0.01,2,0.9789163173420278,0.993421052631579,0.9823008849557522
"[30, 20, 1]",500,0.1,0.01,3,0.9789163173420278,0.993421052631579,0.9823008849557522
"[30, 20, 1]",500,0.1,0.01,4,0.9789163173420278,0.993421052631579,0.9823008849557522
"[30, 20, 1]",500,0.1,0.01,5,0.9789163173420278,0.993421052631579,0.9823008849557522
"[30, 20, 1]",500,0.1,0.05,1,0.9490141282409563,0.9539473684210527,0.9380530973451328
"[30, 20, 1]",500,0.1,0.05,2,0.9490141282409563,0.9539473684210527,0.9380530973451328
"[30, 20, 1]",500,0.1,0.05,3,0.9490141282409563,0.9539473684210527,0.9380530973451328
"[30, 20, 1]",500,0.1,0.05,4,0.9490141282409563,0.9539473684210527,0.9380530973451328
"[30, 20, 1]",500,0.1,0.05,5,0.9490141282409563,0.9539473684210527,0.9380530973451328
"[30, 20, 1]",500,0.1,0.1,1,0.9419810588417947,0.9495614035087719,0.9292035398230089
"[30, 20, 1]",500,0.1,0.1,2,0.9419810588417947,0.9495614035087719,0.9292035398230089
"[30, 20, 1]",500,0.1,0.1,3,0.9419810588417947,0.9495614035087719,0.9292035398230089
